collected_at,resort_id,resort_code,resort_name,party_size,departure_date,end_date,duration_nights,price_pp,currency,signal,days_before_departure,day_of_week_sampled,price_first_seen,price_min_seen,price_max_seen,is_cheapest_ever
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2026-12-06,2026-12-13,7,,GBP,hold,199,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2026-12-13,2026-12-20,7,,GBP,hold,206,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2026-12-20,2026-12-27,7,3636,GBP,hold,213,3,3636,3636,3636,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2026-12-27,2027-01-03,7,4144,GBP,hold,220,3,4144,4144,4144,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-01-03,2027-01-10,7,3144,GBP,hold,227,3,3144,3144,3144,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-01-10,2027-01-17,7,3488,GBP,hold,234,3,3488,3488,3488,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-01-17,2027-01-24,7,3598,GBP,hold,241,3,3598,3598,3598,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-01-24,2027-01-31,7,3598,GBP,hold,248,3,3598,3598,3598,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-01-31,2027-02-07,7,3598,GBP,hold,255,3,3598,3598,3598,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-02-07,2027-02-14,7,3750,GBP,hold,262,3,3750,3750,3750,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-02-14,2027-02-21,7,3750,GBP,hold,269,3,3750,3750,3750,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-02-21,2027-02-28,7,3574,GBP,hold,276,3,3574,3574,3574,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-02-28,2027-03-07,7,3574,GBP,hold,283,3,3574,3574,3574,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-03-07,2027-03-14,7,3776,GBP,hold,290,3,3776,3776,3776,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-03-14,2027-03-21,7,3620,GBP,hold,297,3,3620,3620,3620,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-03-21,2027-03-28,7,2932,GBP,hold,304,3,2932,2932,2932,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-03-28,2027-04-04,7,,GBP,hold,311,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-04-04,2027-04-11,7,,GBP,hold,318,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-04-11,2027-04-18,7,,GBP,hold,325,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-04-18,2027-04-25,7,,GBP,hold,332,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A,2027-04-25,2027-05-02,7,,GBP,hold,339,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2026-12-06,2026-12-13,7,,GBP,hold,199,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2026-12-13,2026-12-20,7,,GBP,hold,206,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2026-12-20,2026-12-27,7,4053,GBP,hold,213,3,4053,4053,4053,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2026-12-27,2027-01-03,7,4615,GBP,hold,220,3,4615,4615,4615,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-01-03,2027-01-10,7,3503,GBP,hold,227,3,3503,3503,3503,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-01-10,2027-01-17,7,3503,GBP,hold,234,3,3503,3503,3503,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-01-17,2027-01-24,7,3613,GBP,hold,241,3,3613,3613,3613,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-01-24,2027-01-31,7,3613,GBP,hold,248,3,3613,3613,3613,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-01-31,2027-02-07,7,3613,GBP,hold,255,3,3613,3613,3613,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-02-07,2027-02-14,7,4179,GBP,hold,262,3,4179,4179,4179,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-02-14,2027-02-21,7,4179,GBP,hold,269,3,4179,4179,4179,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-02-21,2027-02-28,7,3983,GBP,hold,276,3,3983,3983,3983,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-02-28,2027-03-07,7,3983,GBP,hold,283,3,3983,3983,3983,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-03-07,2027-03-14,7,3791,GBP,hold,290,3,3791,3791,3791,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-03-14,2027-03-21,7,3635,GBP,hold,297,3,3635,3635,3635,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-03-21,2027-03-28,7,3269,GBP,hold,304,3,3269,3269,3269,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-03-28,2027-04-04,7,,GBP,hold,311,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-04-04,2027-04-11,7,,GBP,hold,318,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-04-11,2027-04-18,7,,GBP,hold,325,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-04-18,2027-04-25,7,,GBP,hold,332,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1I,2027-04-25,2027-05-02,7,,GBP,hold,339,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2026-12-06,2026-12-13,7,,GBP,hold,199,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2026-12-13,2026-12-20,7,,GBP,hold,206,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2026-12-20,2026-12-27,7,5936,GBP,hold,213,3,5936,5936,5936,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2026-12-27,2027-01-03,7,6215,GBP,hold,220,3,6215,6215,6215,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-01-03,2027-01-10,7,5130,GBP,hold,227,3,5130,5130,5130,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-01-10,2027-01-17,7,4887,GBP,hold,234,3,4887,4887,4887,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-01-17,2027-01-24,7,5040,GBP,hold,241,3,5040,5040,5040,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-01-24,2027-01-31,7,6466,GBP,hold,248,3,6466,6466,6466,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-01-31,2027-02-07,7,5289,GBP,hold,255,3,5289,5289,5289,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-02-07,2027-02-14,7,6121,GBP,hold,262,3,6121,6121,6121,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-02-14,2027-02-21,7,6121,GBP,hold,269,3,6121,6121,6121,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-02-21,2027-02-28,7,5833,GBP,hold,276,3,5833,5833,5833,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-02-28,2027-03-07,7,5558,GBP,hold,283,3,5558,5558,5558,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-03-07,2027-03-14,7,5040,GBP,hold,290,3,5040,5040,5040,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-03-14,2027-03-21,7,4833,GBP,hold,297,3,4833,4833,4833,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-03-21,2027-03-28,7,4559,GBP,hold,304,3,4559,4559,4559,1
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-03-28,2027-04-04,7,,GBP,hold,311,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-04-04,2027-04-11,7,,GBP,hold,318,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-04-11,2027-04-18,7,,GBP,hold,325,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-04-18,2027-04-25,7,,GBP,hold,332,3,,,,
2026-05-21T17:35:54Z,st-moritz-roi-soleil,SMRC,St. Moritz Roi Soleil,2A1C,2027-04-25,2027-05-02,7,,GBP,hold,339,3,,,,
